store_id|sku|quantity|export_ts|extra_attrs
ST005|SKU-00054|78|1795478400|{'warehouse': 'B', 'batch': 98} [note-945]
ST007|SKU-00003||01/16/2026|{"warehouse": "C", "batch": 26} [note-430]
ST004|SKU-00050|443|05/29/2026|{'warehouse': 'A', 'batch': 49} [note-374]
ST004|SKU-00029|3|29-10-2026|{"warehouse": "A", "batch": 90} [café-221]
ST006|SKU-00020
ST006|SKU-00014|258|1797552000|{"warehouse": "B", "batch": 33} [note-95]
ST001|SKU-00015|33|17-01-2026|{"warehouse": "A", "batch": 73} [café-672]
ST001|SKU-00015|N/A|17-01-2026|{"warehouse": "A", "batch": 73, "aisle": 12} [note-999]
ST003|SKU-00041|32|1774224000|{"warehouse": "B", "batch": 49} [note-258]
ST001|SKU-00039|-1|15-06-2026|{'warehouse': 'B', 'batch': 31} [note-970]
ST002|SKU-00027|161|1796256000|{"warehouse": "B", "batch": 27} [café-272]
ST003|SKU-00017|108|1790553600|{"warehouse": "C", "batch": 97} [café-320]
ST008|SKU-00010||08-04-2026|{"warehouse": "C", "batch": 95} [note-59]
ST007|SKU-00043|264|29-11-2026|{'warehouse': 'B', 'batch': 16} [café-22]
ST004|SKU-00002
ST002|SKU-00035|477|1776643200|{"warehouse": "B", "batch": 9} [café-162]
ST002|SKU-00025|321|1770681600|{"warehouse": "C", "batch": 47} [note-47]
ST007|SKU-00022|10|01/15/2026|{{{not json at all}}}
ST007|SKU-00009|161|1796860800|{"warehouse": "A", "batch": 2} [note-103]
ST007|SKU-00001|401|19-07-2026|{"warehouse": "B", "batch": 37} [note-803]
ST007|SKU-00009|161|1796860800|{"warehouse": "A", "batch": 2} [note-103]
ST007|SKU-00058|70|26-10-2026|{'warehouse': 'C', 'batch': 64} [café-113]
ST007|SKU-00009|477|22-01-2026|{'warehouse': 'A', 'batch': 46} [café-106]
ST008|SKU-00026|NULL|26-11-2026|{"warehouse": "A", "batch": 96} [café-599]
ST006|SKU-00007|-1|17-02-2026|{"warehouse": "C", "batch": 34} [note-550]
ST002|SKU-00039|206|1770163200|{'warehouse': 'A', 'batch': 73} [note-635]
ST007|SKU-00054|NULL|05/22/2026|{'warehouse': 'C', 'batch': 34} [note-723]
ST004|SKU-00038||04/23/2026|{"warehouse": "A", "batch": 9} [note-73]
ST007|SKU-00058|70|26-10-2026|{'warehouse': 'C', 'batch': 64} [café-113]
ST007|SKU-00013|181|02/18/2026|{"warehouse": "B", "batch": 53} [note-690]
ST003|SKU-00057|-1|07/31/2026|{"warehouse": "B", "batch": 86} [note-274]
ST003|SKU-00030|134|1767312000|{'warehouse': 'C', 'batch': 98} [note-892]
ST007|SKU-00012||23-05-2026|{'warehouse': 'B', 'batch': 71} [note-554]
ST003|SKU-00024|359|07/01/2026|{'warehouse': 'C', 'batch': 83} [note-547]
ST002|SKU-00057||10-03-2026|{'warehouse': 'C', 'batch': 71} [café-216]
ST002|SKU-00002|NULL|15-01-2027|{"warehouse": "C", "batch": 14} [note-90]
ST001|SKU-00006|N/A|01/21/2027|{"warehouse": "B", "batch": 28} [note-169]
ST005|SKU-00054|78|1795478400|{'warehouse': 'B', 'batch': 98} [note-945]
ST002|SKU-00006|500|10-01-2027|{'warehouse': 'C', 'batch': 99} [note-970]
ST001|SKU-00044|274|01/05/2027|{"warehouse": "B", "batch": 99} [café-446]
ST007|SKU-00036|NULL|01/05/2026|{"warehouse": "C", "batch": 5} [note-152]
ST001|SKU-00006|N/A|01/21/2027|{"warehouse": "B", "batch": 28} [note-169]
ST004|SKU-00011|473|25-08-2026|{"warehouse": "C", "batch": 89} [note-864]
ST008|SKU-00054|413|1791244800|{'warehouse': 'C', 'batch': 68} [note-307]
ST004|SKU-00053|150
ST002|SKU-00050|10|01/15/2026|{{{not json at all}}}
ST004|SKU-00018|NULL|09-12-2026|{"warehouse": "C", "batch": 74} [café-485]
ST002|SKU-00004|441|1785024000|{'warehouse': 'A', 'batch': 32} [note-144]
ST001|SKU-00038|271|1788307200|{"warehouse": "A", "batch": 8} [café-191]
ST006|SKU-00050|383|14-10-2026|{"warehouse": "A", "batch": 31} [note-831]
ST003|SKU-00024|359|07/01/2026|{'warehouse': 'C', 'batch': 83} [note-547]
ST004|SKU-00029|3|29-10-2026|{"warehouse": "A", "batch": 90} [café-221]
ST009|SKU-00077|50|03/15/2026|{"note": "aisle|bin-7"}
ST010|SKU-00081|64|1799000000|{'warehouse': "O'Brien"}
